time,EPL_tii2014.PLC.MN.NoEEE-Link Power
0.288185599998,24032
0.288185599998,24156
0.288185599998,24156
0.288185599998,24280
0.288185599998,24280
0.288185599998,24404
0.288185599998,24404
0.288185599998,24528
0.288185599998,24528
0.288185599998,24652
0.288185599998,24652
0.288185599998,24776
0.288185599998,24776
0.288185599998,24900
0.288185599998,24900
0.288185599998,25024
0.288185599998,25024
0.288185599998,25148
0.288226815999,25148
0.288226815999,25272
0.290609839862,25272
0.290609839862,25148
0.290610415862,25148
0.290610415862,25024
0.290616559861,25024
0.290616559861,24900
0.290617135861,24900
0.290617135861,24776
0.290619523862,24776
0.290619523862,24652
0.290619523862,24652
0.290619523862,24528
0.290619523862,24528
0.290619523862,24404
0.290619523862,24404
0.290619523862,24280
0.290619523862,24280
0.290619523862,24156
0.290619523862,24156
0.290619523862,24032
0.290619523862,24032
0.290619523862,23908
0.290619523862,23908
0.290619523862,23784
0.290619523862,23784
0.290619523862,23660
0.290619523862,23660
0.290619523862,23536
0.290619523862,23536
0.290619523862,23412
0.290619523862,23412
0.290619523862,23288
0.290619523862,23288
0.290619523862,23164
0.290619523862,23164
0.290619523862,23040
0.290619523862,23040
0.290619523862,22916
0.290619523862,22916
0.290619523862,22792
0.290619523862,22792
0.290619523862,22668
0.290619523862,22668
0.290619523862,22544
0.290619523862,22544
0.290619523862,22420
0.290619523862,22420
0.290619523862,22296
0.290619523862,22296
0.290619523862,22172
0.290619523862,22172
0.290619523862,22048
0.290619523862,22048
0.290619523862,21924
0.290619523862,21924
0.290619523862,21800
0.290619523862,21800
0.290619523862,21676
0.290619523862,21676
0.290619523862,21552
0.290619523862,21552
0.290619523862,21428
0.290619523862,21428
0.290619523862,21304
0.290619523862,21304
0.290619523862,21180
0.290619523862,21180
0.290619523862,21056
0.290625283862,21056
0.290625283862,20932
0.290625283862,20932
0.290625283862,20808
0.290625283862,20808
0.290625283862,20684
0.290625283862,20684
0.290625283862,20560
0.290625283862,20560
0.290625283862,20436
0.290625283862,20436
0.290625283862,20312
0.290625283862,20312
0.290625283862,20188
0.290625283862,20188
0.290625283862,20064
0.290625283862,20064
0.290625283862,19940
0.290625283862,19940
0.290625283862,19816
0.290625283862,19816
0.290625283862,19692
0.290625283862,19692
0.290625283862,19568
0.290625283862,19568
0.290625283862,19444
0.290625283862,19444
0.290625283862,19320
0.290625283862,19320
0.290625283862,19196
0.290625283862,19196
0.290625283862,19072
0.290625283862,19072
0.290625283862,18948
0.290625283862,18948
0.290625283862,18824
0.290625283862,18824
0.290625283862,18700
0.290625283862,18700
0.290625283862,18576
0.290625283862,18576
0.290625283862,18452
0.290625283862,18452
0.290625283862,18328
0.290625283862,18328
0.290625283862,18204
0.290625283862,18204
0.290625283862,18080
0.290625283862,18080
0.290625283862,17956
0.290625283862,17956
0.290625283862,17832
0.290625283862,17832
0.290625283862,17708
0.290625283862,17708
0.290625283862,17584
0.290625283862,17584
0.290625283862,17460
0.290632003861,17460
0.290632003861,17336
0.29064772386,17336
0.29064772386,17212
0.29065348386,17212
0.29065348386,17088
0.3000416,17088
0.3000416,17212
0.30008896,17212
0.30008896,17336
0.300137279999,17336
0.300137279999,19816
0.300137279999,19816
0.300137279999,21056
0.300137279999,21056
0.300137279999,21180
0.300179455999,21180
0.300179455999,21304
0.300184639999,21304
0.300184639999,21428
0.300185599998,21428
0.300185599998,21552
0.300185599998,21552
0.300185599998,21676
0.300185599998,21676
0.300185599998,21800
0.300185599998,21800
0.300185599998,21924
0.300185599998,21924
0.300185599998,22048
0.300185599998,22048
0.300185599998,22172
0.300185599998,22172
0.300185599998,22296
0.300185599998,22296
0.300185599998,22420
0.300185599998,22420
0.300185599998,22544
0.300185599998,22544
0.300185599998,22668
0.300185599998,22668
0.300185599998,22792
0.300185599998,22792
0.300185599998,22916
0.300185599998,22916
0.300185599998,23040
0.300185599998,23040
0.300185599998,23164
0.300185599998,23164
0.300185599998,23288
0.300185599998,23288
0.300185599998,23412
0.300185599998,23412
0.300185599998,23536
0.300185599998,23536
0.300185599998,23660
0.300185599998,23660
0.300185599998,23784
0.300185599998,23784
0.300185599998,23908
0.300185599998,23908
0.300185599998,24032
0.300185599998,24032
0.300185599998,24156
0.300185599998,24156
0.300185599998,24280
0.300185599998,24280
0.300185599998,24404
0.300185599998,24404
0.300185599998,24528
0.300185599998,24528
0.300185599998,24652
0.300185599998,24652
0.300185599998,24776
0.300185599998,24776
0.300185599998,24900
0.300185599998,24900
0.300185599998,25024
0.300185599998,25024
0.300185599998,25148
0.300226815999,25148
0.300226815999,25272
0.302609839862,25272
0.302609839862,25148
0.302610415862,25148
0.302610415862,25024
0.302616559861,25024
0.302616559861,24900
0.302617135861,24900
0.302617135861,24776
0.302619523862,24776
0.302619523862,24652
0.302619523862,24652
0.302619523862,24528
0.302619523862,24528
0.302619523862,24404
0.302619523862,24404
0.302619523862,24280
0.302619523862,24280
0.302619523862,24156
0.302619523862,24156
0.302619523862,24032
0.302619523862,24032
0.302619523862,23908
0.302619523862,23908
0.302619523862,23784
0.302619523862,23784
0.302619523862,23660
0.302619523862,23660
0.302619523862,23536
0.302619523862,23536
0.302619523862,23412
0.302619523862,23412
0.302619523862,23288
0.302619523862,23288
0.302619523862,23164
0.302619523862,23164
0.302619523862,23040
0.302619523862,23040
0.302619523862,22916
0.302619523862,22916
0.302619523862,22792
0.302619523862,22792
0.302619523862,22668
0.302619523862,22668
0.302619523862,22544
0.302619523862,22544
0.302619523862,22420
0.302619523862,22420
0.302619523862,22296
0.302619523862,22296
0.302619523862,22172
0.302619523862,22172
0.302619523862,22048
0.302619523862,22048
0.302619523862,21924
0.302619523862,21924
0.302619523862,21800
0.302619523862,21800
0.302619523862,21676
0.302619523862,21676
0.302619523862,21552
0.302619523862,21552
0.302619523862,21428
0.302619523862,21428
0.302619523862,21304
0.302619523862,21304
0.302619523862,21180
0.302619523862,21180
0.302619523862,21056
0.302625283862,21056
0.302625283862,20932
0.302625283862,20932
0.302625283862,20808
0.302625283862,20808
0.302625283862,20684
0.302625283862,20684
0.302625283862,20560
0.302625283862,20560
0.302625283862,20436
0.302625283862,20436
0.302625283862,20312
0.302625283862,20312
0.302625283862,20188
0.302625283862,20188
0.302625283862,20064
0.302625283862,20064
0.302625283862,19940
0.302625283862,19940
0.302625283862,19816
0.302625283862,19816
0.302625283862,19692
0.302625283862,19692
0.302625283862,19568
0.302625283862,19568
0.302625283862,19444
0.302625283862,19444
0.302625283862,19320
0.302625283862,19320
0.302625283862,19196
0.302625283862,19196
0.302625283862,19072
0.302625283862,19072
0.302625283862,18948
0.302625283862,18948
0.302625283862,18824
0.302625283862,18824
0.302625283862,18700
0.302625283862,18700
0.302625283862,18576
0.302625283862,18576
0.302625283862,18452
0.302625283862,18452
0.302625283862,18328
